Date,Open,High,Low,Close,Volume
3/13/2024 16:00:00,625,630,615,620,26397000
3/14/2024 16:00:00,620,620,605,615,18719600
3/15/2024 16:00:00,610,615,600,605,21094100
3/18/2024 16:00:00,605,610,600,600,15063500
3/19/2024 16:00:00,600,610,600,605,14517100
3/20/2024 16:00:00,605,630,600,630,50333000
3/21/2024 16:00:00,635,645,625,635,72949300
3/22/2024 16:00:00,640,640,610,630,32319000
3/25/2024 16:00:00,630,630,615,620,18009000
3/26/2024 16:00:00,625,625,615,615,19549200
3/27/2024 16:00:00,620,635,620,625,38585400
3/28/2024 16:00:00,625,630,620,620,19602900
4/1/2024 16:00:00,620,625,600,610,31475600
4/2/2024 16:00:00,610,615,605,605,17569800
4/3/2024 16:00:00,605,645,605,640,83020300
4/4/2024 16:00:00,645,670,640,660,119154800
4/5/2024 16:00:00,660,705,655,675,251111200
4/16/2024 16:00:00,670,680,640,675,81657400
4/17/2024 16:00:00,675,675,660,665,43926600
4/18/2024 16:00:00,665,675,660,665,35135900
4/19/2024 16:00:00,665,690,645,685,90281600
4/22/2024 16:00:00,690,715,690,710,122207400
4/23/2024 16:00:00,710,715,705,715,37781900
4/24/2024 16:00:00,715,720,710,720,33002100
4/25/2024 16:00:00,720,750,715,725,129432200
4/26/2024 16:00:00,730,745,690,705,73061200
4/29/2024 16:00:00,705,725,705,725,34830200
4/30/2024 16:00:00,720,730,715,730,18782700
5/2/2024 16:00:00,730,735,705,715,24940400
5/3/2024 16:00:00,715,720,705,720,32843200
5/6/2024 16:00:00,720,725,710,720,26785400
5/7/2024 16:00:00,720,725,710,720,20986000
5/8/2024 16:00:00,720,725,710,720,35469500
5/13/2024 16:00:00,720,720,705,715,30012400
5/14/2024 16:00:00,715,730,705,720,44597000
5/15/2024 16:00:00,720,720,710,715,23335400
5/16/2024 16:00:00,715,720,710,715,25089500
5/17/2024 16:00:00,715,720,710,715,12351900
5/20/2024 16:00:00,715,715,700,705,21025400
5/21/2024 16:00:00,705,710,670,690,47992300
5/22/2024 16:00:00,690,715,690,715,39213100
5/27/2024 16:00:00,715,715,680,700,55652000
5/28/2024 16:00:00,690,715,685,705,26522700
5/29/2024 16:00:00,705,715,690,700,45861000
5/30/2024 16:00:00,700,700,670,700,40812900
5/31/2024 16:00:00,700,710,680,710,59800500
6/3/2024 16:00:00,710,720,700,715,42967500
6/4/2024 16:00:00,715,720,700,720,44632000
6/5/2024 16:00:00,720,730,715,725,39315100
6/6/2024 16:00:00,725,745,720,735,39775600
6/7/2024 16:00:00,735,760,720,760,83042600
6/10/2024 16:00:00,760,765,740,755,38348600
6/11/2024 16:00:00,755,765,745,750,31082200
6/12/2024 16:00:00,750,750,730,750,28739800
